observation_date,productivity,compensation
1966-07-01,77.97836,82.38811
1966-10-01,78.46191,82.81598
1967-01-01,79.08247,83.71704
1967-04-01,79.37259,84.55294
1967-07-01,79.77757,84.84479
1967-10-01,80.00725,85.07006
1968-01-01,81.79236,86.50242
1968-04-01,82.55999,87.06204
1968-07-01,82.59223,87.29864
1968-10-01,82.39478,87.94327
1969-01-01,83.04958,88.06795
1969-04-01,82.36859,88.10053
1969-07-01,82.45321,88.45189
1969-10-01,82.04017,88.78909
1970-01-01,82.29404,88.96335
1970-04-01,83.49687,89.11778
1970-07-01,84.80648,89.63206
1970-10-01,84.02877,89.20987
1971-01-01,86.51905,90.29370
1971-04-01,86.76284,90.78248
1971-07-01,87.58487,91.12393
1971-10-01,86.82328,91.07859
1972-01-01,88.18327,92.85805
1972-04-01,89.92001,93.34542
1972-07-01,90.43580,93.83279
1972-10-01,91.19940,94.62335
1973-01-01,93.26255,95.61509
1973-04-01,93.29680,94.96479
1973-07-01,92.42440,94.73811
1973-10-01,91.84817,94.26632
1974-01-01,91.62654,93.61886
1974-04-01,91.35253,93.54660
1974-07-01,90.41565,93.67695
1974-10-01,91.22157,93.37518
1975-01-01,91.89854,94.14448
1975-04-01,93.35724,94.99596
1975-07-01,94.49963,94.77778
1975-10-01,94.60238,94.58935
1976-01-01,96.00266,95.31899
1976-04-01,96.88514,96.24555
1976-07-01,97.11281,96.72159
1976-10-01,97.39286,97.36480
1977-01-01,98.01946,97.42148
1977-04-01,98.42041,97.70908
1977-07-01,99.45399,98.24604
1977-10-01,98.18669,98.49397
1978-01-01,98.24310,99.57072
1978-04-01,100.19745,99.12302
1978-07-01,100.25991,99.22361
1978-10-01,100.91874,99.73790
1979-01-01,100.00000,100.00000
1979-04-01,99.81665,99.60472
1979-07-01,99.69375,99.17686
1979-10-01,99.57488,99.19386
1980-01-01,100.04835,98.83966
1980-04-01,99.00469,99.07768
1980-07-01,99.39758,99.19102
1980-10-01,100.40699,99.48430
1981-01-01,101.95434,99.21511
1981-04-01,100.63466,99.07768
1981-07-01,101.57758,99.26328
1981-10-01,100.49765,99.17544
1982-01-01,99.99396,100.55537
1982-04-01,100.02216,100.27344
1982-07-01,100.21961,100.10201
1982-10-01,101.10209,100.46753
1983-01-01,102.47416,100.90815
1983-04-01,104.71863,100.66447
1983-07-01,104.96847,100.25077
1983-10-01,105.57291,100.47037
1984-01-01,106.08265,100.25360
1984-04-01,106.67298,100.39811
1984-07-01,107.12228,101.06400
1984-10-01,107.24115,101.03708
1985-01-01,107.58366,101.43944
1985-04-01,107.92416,101.51311
1985-07-01,109.29623,102.37309
1985-10-01,109.73546,103.33225
1986-01-01,111.03500,104.30840
1986-04-01,111.90539,106.06095
1986-07-01,112.38289,106.79200
1986-10-01,112.13910,107.51881
1987-01-01,111.61123,106.77500
1987-04-01,112.36274,106.41656
1987-07-01,112.38692,106.46048
1987-10-01,113.51117,106.87134
1988-01-01,113.94234,108.04018
1988-04-01,114.25060,108.20736
1988-07-01,114.49237,108.29945
1988-10-01,114.61729,108.11952
1989-01-01,114.81675,107.33038
1989-04-01,115.14920,106.16437
1989-07-01,115.68714,106.36131
1989-10-01,115.69923,106.92801
1990-01-01,116.79326,107.29779
1990-04-01,117.60724,108.39862
1990-07-01,117.98602,108.06001
1990-10-01,116.76103,107.20712
1991-01-01,117.12369,107.26521
1991-04-01,119.03371,108.82507
1991-07-01,120.05118,109.46404
1991-10-01,120.61733,110.12142
1992-01-01,123.00284,112.39109
1992-04-01,124.05053,112.67869
1992-07-01,125.16068,113.25532
1992-10-01,125.90615,113.00880
1993-01-01,124.81817,111.61328
1993-04-01,124.09486,111.62886
1993-07-01,124.64086,111.23358
1993-10-01,125.12643,111.28600
1994-01-01,125.47499,110.32260
1994-04-01,125.59184,110.65129
1994-07-01,124.88264,109.78423
1994-10-01,126.19225,110.12142
1995-01-01,126.28493,110.10867
1995-04-01,126.87526,110.17667
1995-07-01,126.86519,110.28293
1995-10-01,127.55626,110.62012
1996-01-01,128.34203,110.96865
1996-04-01,129.58918,111.05224
1996-07-01,130.06266,111.32001
1996-10-01,130.17952,111.08199
1997-01-01,129.91155,111.73087
1997-04-01,131.83567,112.48034
1997-07-01,132.90754,113.11081
1997-10-01,133.54623,114.58992
1998-01-01,134.76316,116.32546
1998-04-01,135.45826,117.47163
1998-07-01,137.30180,118.84873
1998-10-01,138.35553,119.02016
1999-01-01,140.26152,120.69195
1999-04-01,140.77328,120.31226
1999-07-01,142.06274,120.42418
1999-10-01,144.15208,121.92879
2000-01-01,143.57988,124.96493
2000-04-01,146.45699,124.30897
2000-07-01,146.33611,125.57556
2000-10-01,147.85324,125.40413
2001-01-01,147.04531,126.99942
2001-04-01,149.57387,126.61831
2001-07-01,150.41404,126.39729
2001-10-01,152.29384,127.70072
2002-01-01,155.50742,127.83390
2002-04-01,155.73913,127.95857
2002-07-01,156.95203,127.94582
2002-10-01,156.71630,127.46695
2003-01-01,158.26366,126.93991
2003-04-01,160.34292,129.35976
2003-07-01,163.90506,130.36709
2003-10-01,165.43630,131.68043
2004-01-01,164.94671,130.28633
2004-04-01,166.66532,131.75836
2004-07-01,167.45109,133.36497
2004-10-01,168.16836,132.41999
2005-01-01,170.00181,132.59708
2005-04-01,169.81645,132.53900
2005-07-01,171.00719,132.31231
2005-10-01,170.99309,131.83203
2006-01-01,172.19390,133.63983
2006-04-01,172.00048,132.64525
2006-07-01,171.64588,131.76544
2006-10-01,172.75804,134.39497
2007-01-01,173.37457,136.14043
2007-04-01,173.90446,134.54373
2007-07-01,175.42764,134.28446
2007-10-01,176.77755,134.24904
2008-01-01,175.62307,134.06486
2008-04-01,177.70032,132.57867
2008-07-01,178.13551,131.92553
2008-10-01,177.18856,136.77514
2009-01-01,179.21343,134.02519
2009-04-01,183.31755,136.83323
2009-07-01,186.21280,136.74114
2009-10-01,188.73733,136.30336
2010-01-01,188.92471,134.75766
2010-04-01,189.54123,136.41670
2010-07-01,190.74406,136.81340
2010-10-01,191.33842,136.15318
2011-01-01,189.93815,137.27385
2011-04-01,190.07717,134.55223
2011-07-01,189.70846,134.73358
2011-10-01,190.62519,132.14372
2012-01-01,191.58826,134.52814
2012-04-01,192.55334,134.91351
2012-07-01,192.00532,134.29579
2012-10-01,191.29410,136.82190
2013-01-01,192.20680,134.18245
2013-04-01,191.74944,135.24220
2013-07-01,193.11950,134.19804
2013-10-01,194.97713,134.76758
2014-01-01,193.32904,136.45354
2014-04-01,194.61648,134.99285
2014-07-01,196.26660,135.34704
2014-10-01,195.58761,137.13784
2015-01-01,196.70985,139.59877
2015-04-01,197.68904,139.88212
2015-07-01,198.23303,140.19523
2015-10-01,197.02617,139.92746
2016-01-01,197.86634,140.05780
2016-04-01,197.97715,139.42876
2016-07-01,198.67830,139.45143
2016-10-01,200.00806,140.07481
2017-01-01,200.34453,140.48284
2017-04-01,200.45534,141.19122
2017-07-01,202.04904,142.30055
2017-10-01,203.52991,143.07269
2018-01-01,204.29754,142.80492
2018-04-01,204.28948,142.75817
2018-07-01,204.89191,143.53740
2018-10-01,204.53730,143.45239
2019-01-01,206.27405,146.48995
2019-04-01,207.50710,145.39762
2019-07-01,209.85836,144.97967
2019-10-01,211.84091,146.46161
2020-01-01,211.26267,149.71310
2020-04-01,221.19155,159.59225
2020-07-01,224.56027,155.27393
2020-10-01,222.81345,158.17973
2021-01-01,224.56833,156.88339
2021-04-01,224.65497,156.25576
2021-07-01,223.26476,155.83781
2021-10-01,224.81011,154.76673
2022-01-01,221.92493,151.95302
2022-04-01,220.25870,148.56977
2022-07-01,220.15393,149.23423
2022-10-01,221.70935,147.89539
2023-01-01,221.88866,147.91947
2023-04-01,223.91353,149.11948
2023-07-01,226.01898,149.69469
2023-10-01,227.77789,150.20331
2024-01-01,228.17480,152.15278
2024-04-01,229.37360,151.47982
2024-07-01,230.69732,152.09895
2024-10-01,231.40249,152.51548
